arXiv_ID,at_uri,AuthorDID,CreatedDate,SearchText
2502.06352,at://did:plc:fvxadjtvukbhdaslbiih3r2p/app.bsky.feed.post/3lhvgizz56c2h,did:plc:fvxadjtvukbhdaslbiih3r2p,2025-02-11T10:16:23.645095Z,"""sihwan park, doohyuk jang, sungyub kim, souvik kundu, eunho yang\nlantern++: enhanced relaxed speculative decoding with static tree drafting for visual auto-regressive models\nhttps://arxiv.org/abs/2502.06352        """
2502.13591v1,at://did:plc:6reswuldwp7dtekdjrbc2cwk/app.bsky.feed.post/3liln53wxw22p,did:plc:6reswuldwp7dtekdjrbc2cwk,2025-02-20T06:13:34.423097+00:00,"""0.3 gev/c). it will feature ultra-thin (< 50 micrometer), stitched wafer-scale monolithic active pixel sensors (maps) using 65 nm cmos imaging technology. these sensors can be bent, forming a truly cylindrical barrel with an [3/9 of https://arxiv.org/abs/2502.13591v1]        """
2501.14217,at://did:plc:uxjdkwlgj5ptelt2x4e3zrzr/app.bsky.feed.post/3lgox5swb6724,did:plc:uxjdkwlgj5ptelt2x4e3zrzr,2025-01-27T03:00:31.743570+00:00,"""probing $k$-space alternating spin polarization via the anomalous hall effect\nhttps://arxiv.org/pdf/2501.14217\nrui chen, zi-ming wang, hai-peng sun, bin zhou, dong-hui xu https://arxiv.org/abs/2501.14217 https://arxiv.org/abs/2501.14217 arxiv abstract link     """
2501.14217,at://did:plc:uxjdkwlgj5ptelt2x4e3zrzr/app.bsky.feed.post/3lgox5swb6724,did:plc:uxjdkwlgj5ptelt2x4e3zrzr,2025-01-27T03:00:31.743570+00:00,"""probing $k$-space alternating spin polarization via the anomalous hall effect\nhttps://arxiv.org/pdf/2501.14217\nrui chen, zi-ming wang, hai-peng sun, bin zhou, dong-hui xu https://arxiv.org/abs/2501.14217 https://arxiv.org/abs/2501.14217 arxiv abstract link     """
2501.14217,at://did:plc:uxjdkwlgj5ptelt2x4e3zrzr/app.bsky.feed.post/3lgox5swb6724,did:plc:uxjdkwlgj5ptelt2x4e3zrzr,2025-01-27T03:00:31.743570+00:00,"""probing $k$-space alternating spin polarization via the anomalous hall effect\nhttps://arxiv.org/pdf/2501.14217\nrui chen, zi-ming wang, hai-peng sun, bin zhou, dong-hui xu https://arxiv.org/abs/2501.14217 https://arxiv.org/abs/2501.14217 arxiv abstract link     """
2501.19402,at://did:plc:x4hhl3usve4zvhgqo2zehmn7/app.bsky.feed.post/3lhargzrimd2g,did:plc:x4hhl3usve4zvhgqo2zehmn7,2025-02-03T05:06:12.912327Z,"""andreas deuchert, phan thanh nam, marcin napiorkowski\na note on spontaneous symmetry breaking in the mean-field bose gas\nhttps://arxiv.org/abs/2501.19402        """
2502.13237v1,at://did:plc:nzlt4cxdaltj3hyviipywiz6/app.bsky.feed.post/3liln5nh2by2e,did:plc:nzlt4cxdaltj3hyviipywiz6,2025-02-20T06:13:52.777393+00:00,"""arxiv:2502.13237v1 announce type: new \nabstract: in this study, we investigate the magnification and angular resolution of a single water droplet positioned on a glass surface, functioning as an optical imaging system. [1/4 of https://arxiv.org/abs/2502.13237v1]        """
2502.13237v1,at://did:plc:nzlt4cxdaltj3hyviipywiz6/app.bsky.feed.post/3liln5nh2by2e,did:plc:nzlt4cxdaltj3hyviipywiz6,2025-02-20T06:13:52.777393+00:00,"""arxiv:2502.13237v1 announce type: new \nabstract: in this study, we investigate the magnification and angular resolution of a single water droplet positioned on a glass surface, functioning as an optical imaging system. [1/4 of https://arxiv.org/abs/2502.13237v1]        """
2412.16222,at://did:plc:pxokkpd3cyvbwgdwampv3soq/app.bsky.feed.post/3lfeq4ww3pk23,did:plc:pxokkpd3cyvbwgdwampv3soq,2025-01-10T08:02:57.229414+00:00,"""🔄 updated arxiv paper\n\ntitle: a matheuristic approach for an integrated lot-sizing and scheduling problem with a period-based learning effect\nauthors: mohammad rohaninejad, behdin vahedi-nouri, reza tavakkoli-moghaddam, zden\v{e}k hanz\'alek\n\nread more: https://arxiv.org/abs/2412.16222       """
2501.12070,at://did:plc:igqxxdun347dblo3n7xwq6ur/app.bsky.feed.post/3lgcwhdsxbo2h,did:plc:igqxxdun347dblo3n7xwq6ur,2025-01-22T08:16:00.232341Z,"""frank ernesto quintela rodriguez, piero lafiosca, tommaso giovannini, chiara cappelli\nquantum dynamics of dissipative polarizable media\nhttps://arxiv.org/abs/2501.12070       """
