"at_uri","AuthorDID","CID","CreatedDate","ReplyParent","ReplyRoot","SearchText"
"at://did:plc:b5ly66nko7iijwy2lktt3ctq/app.bsky.feed.post/3lefy546ysd2w","did:plc:b5ly66nko7iijwy2lktt3ctq","bafyreih3bngwloxdkfdqyaisljgf365ameqekrjg3qdxgqvqq3etwbzzse","2013-07-29T20:09:15Z","null","null",""
"at://did:plc:sto6bd2lwu3v2zuba6do6ec2/app.bsky.feed.post/3lezflovkzs2d","did:plc:sto6bd2lwu3v2zuba6do6ec2","bafyreid3vcxvhlmfqghgqhvbxgbmuikwb4roxw3bfuoyo2a7e7cwsufbpa","2025-01-05T19:55:03.980Z","null","null",""
"at://did:plc:awpklabzanvwzxsr5s7mtl3a/app.bsky.feed.post/3limjhkw6xs2x","did:plc:awpklabzanvwzxsr5s7mtl3a","bafyreih52iiajb77ju3fq55xlrflg7x34rdpbnqukzgkjrfpykrzi6s36q","2025-02-20T14:40:30.460Z","at://did:plc:yly3aulwiwaboatf2v2pjkhc/app.bsky.feed.post/3limjctslpk2s","at://did:plc:yly3aulwiwaboatf2v2pjkhc/app.bsky.feed.post/3limjctslpk2s","""inform friends, family, and social media followers.\n\neveryone needs to know about the psychopathic agenda of curtis yarvin, peter thiel, and elon musk.\n\namerica2.news/content/file... https://america2.news/content/files/2025/02/evidence_brief_-_imminent_neoreactionary_threat.pdf       """
"at://did:plc:q6vknsh3kwdhqgdfzcavyetw/app.bsky.feed.post/3ldpmfz7iue2l","did:plc:q6vknsh3kwdhqgdfzcavyetw","bafyreihcykvlsgbt7gzixzboluamjlit63ft6twl6sxbjpd6snyf4gfchu","2024-12-20T05:05:19.733247Z","null","null",""
"at://did:plc:oxye2thfvsmv6ariyfstcvzb/app.bsky.feed.post/3ledcd5vnrs2c","did:plc:oxye2thfvsmv6ariyfstcvzb","bafyreidxvetww7imvm544cxal5xjtektdi2ehrntmykscxib4lz6ucqrke","2024-12-28T00:58:02.252Z","null","null",""
"at://did:plc:fvxadjtvukbhdaslbiih3r2p/app.bsky.feed.post/3lhvgizz56c2h","did:plc:fvxadjtvukbhdaslbiih3r2p","bafyreic76bgeruhtax7pnmtjatdecf4du3eojbwbcu6y2si7yaxkrn3ct4","2025-02-11T10:16:23.645095Z","null","null","""sihwan park, doohyuk jang, sungyub kim, souvik kundu, eunho yang\nlantern++: enhanced relaxed speculative decoding with static tree drafting for visual auto-regressive models\nhttps://arxiv.org/abs/2502.06352        """
"at://did:plc:4x6qvtd7ag2ua22nuha45rgk/app.bsky.feed.post/3lhjnwultbk24","did:plc:4x6qvtd7ag2ua22nuha45rgk","bafyreidxclbsxf2icfq4peesmvydwlccp7mxkxwywt7vpqrn4yyixqx5oa","2025-02-06T17:57:28.053Z","null","null","""now in an issue, w/ @taheikkila.bsky.social, @envpolicycenter.bsky.social, @pamrittelmeyer.bsky.social & more.\n\nunlike most #policylearning research, we identify instances where learning was blocked or did not occur, using the context of #coloradoriver sci-policy forums.\n\ndoi.org/10.1002/eet.... http://dx.doi.org/10.1002/eet.2125 illuminating the collective learning continuum in the colorado river basin science‐policy forums although considerable research over the past two decades has examined collective learning in environmental governance, much of this scholarship has focused on cases where learning occurred, limiting ...     """
"at://did:plc:3atab2tvgmruv2wrvbddwutz/app.bsky.feed.post/3ldiffvruhs2k","did:plc:3atab2tvgmruv2wrvbddwutz","bafyreiewyrevfhijllbkwz6aotwnfvazf2qwoxvqn5s3o3zvxo3jxsfa6q","2024-12-17T08:11:21.303484Z","null","null",""
"at://did:plc:6reswuldwp7dtekdjrbc2cwk/app.bsky.feed.post/3liln53wxw22p","did:plc:6reswuldwp7dtekdjrbc2cwk","bafyreifm6y4o52bezpy6w6nqjgdaxxy2nqcck3njmez3dy7cdlbgau4uu4","2025-02-20T06:13:34.423097+00:00","at://did:plc:6reswuldwp7dtekdjrbc2cwk/app.bsky.feed.post/3liln53lgfy2k","at://did:plc:6reswuldwp7dtekdjrbc2cwk/app.bsky.feed.post/3liln53bzw32k","""0.3 gev/c). it will feature ultra-thin (< 50 micrometer), stitched wafer-scale monolithic active pixel sensors (maps) using 65 nm cmos imaging technology. these sensors can be bent, forming a truly cylindrical barrel with an [3/9 of https://arxiv.org/abs/2502.13591v1]        """
"at://did:plc:uxjdkwlgj5ptelt2x4e3zrzr/app.bsky.feed.post/3lgox5swb6724","did:plc:uxjdkwlgj5ptelt2x4e3zrzr","bafyreid5y3jyeqhqdxytnzwg7w4je2jw6wgyasx75umtkzhaldv3vdntoi","2025-01-27T03:00:31.743570+00:00","null","null","""probing $k$-space alternating spin polarization via the anomalous hall effect\nhttps://arxiv.org/pdf/2501.14217\nrui chen, zi-ming wang, hai-peng sun, bin zhou, dong-hui xu https://arxiv.org/abs/2501.14217 https://arxiv.org/abs/2501.14217 arxiv abstract link     """
